"","Division","Line","Station.Name"
"1","BMT","4 Avenue","25th St"
"2","BMT","4 Avenue","25th St"
"3","BMT","4 Avenue","36th St"
"4","BMT","4 Avenue","36th St"
"5","BMT","4 Avenue","36th St"
"6","BMT","4 Avenue","45th St"
"7","BMT","4 Avenue","45th St"
"8","BMT","4 Avenue","45th St"
"9","BMT","4 Avenue","45th St"
"10","BMT","4 Avenue","53rd St"
"11","BMT","4 Avenue","53rd St"
"12","BMT","4 Avenue","53rd St"
"13","BMT","4 Avenue","53rd St"
"14","BMT","4 Avenue","53rd St"
"15","BMT","4 Avenue","59th St"
"16","BMT","4 Avenue","59th St"
"17","BMT","4 Avenue","59th St"
"18","BMT","4 Avenue","59th St"
"19","BMT","4 Avenue","59th St"
"20","BMT","4 Avenue","59th St"
"21","BMT","4 Avenue","77th St"
"22","BMT","4 Avenue","77th St"
"23","BMT","4 Avenue","77th St"
"24","BMT","4 Avenue","86th St"
"25","BMT","4 Avenue","86th St"
"26","BMT","4 Avenue","86th St"
"27","BMT","4 Avenue","95th St"
"28","BMT","4 Avenue","95th St"
"29","BMT","4 Avenue","95th St"
"30","BMT","4 Avenue","95th St"
"31","BMT","4 Avenue","95th St"
"32","BMT","4 Avenue","9th St"
"33","BMT","4 Avenue","9th St"
"34","BMT","4 Avenue","Atlantic Av-Barclays Ctr"
"35","BMT","4 Avenue","Bay Ridge Av"
"36","BMT","4 Avenue","Bay Ridge Av"
"37","BMT","4 Avenue","Bay Ridge Av"
"38","BMT","4 Avenue","DeKalb Av"
"39","BMT","4 Avenue","DeKalb Av"
"40","BMT","4 Avenue","DeKalb Av"
"41","BMT","4 Avenue","DeKalb Av"
"42","BMT","4 Avenue","DeKalb Av"
"43","BMT","4 Avenue","DeKalb Av"
"44","BMT","4 Avenue","Pacific St"
"45","BMT","4 Avenue","Pacific St"
"46","BMT","4 Avenue","Prospect Av"
"47","BMT","4 Avenue","Prospect Av"
"48","BMT","4 Avenue","Prospect Av"
"49","BMT","4 Avenue","Union St"
"50","BMT","4 Avenue","Union St"
"51","BMT","4 Avenue","Union St"
"52","BMT","4 Avenue","Union St"
"53","IRT","42nd St Shuttle","Grand Central"
"54","IRT","42nd St Shuttle","Grand Central"
"55","IRT","42nd St Shuttle","Grand Central"
"56","IRT","42nd St Shuttle","Grand Central"
"57","IRT","42nd St Shuttle","Grand Central"
"58","IRT","42nd St Shuttle","Grand Central"
"59","IRT","42nd St Shuttle","Grand Central"
"60","IRT","42nd St Shuttle","Times Square"
"61","IND","6 Avenue","14th St"
"62","IND","6 Avenue","14th St"
